Running as unit: kivou-173-import-diagnostic.service; invocation ID: 4f6848fbf4b54b53b3f76edc9515c2b3
import time: self [us] | cumulative | imported package
import time:       225 |        225 |   _io
import time:        25 |         25 |   marshal
import time:       277 |        277 |   posix
import time:       328 |        853 | _frozen_importlib_external
import time:        90 |         90 |   time
import time:        91 |        181 | zipimport
import time:        39 |         39 |     _codecs
import time:       267 |        305 |   codecs
import time:       424 |        424 |   encodings.aliases
import time:       535 |       1264 | encodings
import time:       166 |        166 | encodings.utf_8
import time:        83 |         83 | _signal
import time:        22 |         22 |     _abc
import time:       126 |        147 |   abc
import time:       146 |        293 | io
import time:        42 |         42 |       _stat
import time:        76 |        117 |     stat
import time:       868 |        868 |     _collections_abc
import time:        41 |         41 |       genericpath
import time:        77 |        118 |     posixpath
import time:       274 |       1376 |   os
import time:        49 |         49 |   _sitebuiltins
import time:       182 |        182 |         itertools
import time:        90 |         90 |         keyword
import time:        59 |         59 |           _operator
import time:       236 |        294 |         operator
import time:       135 |        135 |         reprlib
import time:        49 |         49 |         _collections
import time:       831 |       1580 |       collections
import time:       190 |        190 |         types
import time:        45 |         45 |         _functools
import time:       557 |        790 |       functools
import time:       525 |       2894 |     contextlib
import time:       419 |       3312 |   _virtualenv
import time:        79 |         79 |     apport_python_hook
import time:        98 |        177 |   sitecustomize
import time:       850 |       5762 | site
import time:       201 |        201 |     signals
import time:       158 |        158 |       __future__
import time:       100 |        100 |         _datetime
import time:       181 |        281 |       datetime
import time:      1111 |       1111 |           enum
import time:        60 |         60 |             _sre
import time:       209 |        209 |               re._constants
import time:       331 |        540 |             re._parser
import time:        83 |         83 |             re._casefix
import time:       379 |       1061 |           re._compiler
import time:       222 |        222 |           copyreg
import time:       444 |       2837 |         re
import time:       132 |        132 |           collections.abc
import time:       127 |        127 |               token
import time:        26 |         26 |               _tokenize
import time:       790 |        943 |             tokenize
import time:       131 |       1073 |           linecache
import time:      2091 |       2091 |           textwrap
import time:       478 |       3773 |         traceback
import time:       268 |        268 |         warnings
import time:       194 |        194 |           _weakrefset
import time:       351 |        544 |         weakref
import time:        25 |         25 |           _string
import time:       514 |        538 |         string
import time:       537 |        537 |         threading
import time:        39 |         39 |         atexit
import time:      1670 |      10203 |       logging
import time:        36 |         36 |           _typing
import time:      2205 |       2240 |         typing
import time:       238 |        238 |           sqlalchemy.util.preloaded
import time:        98 |         98 |               sqlalchemy.cyextension
import time:        77 |         77 |                 zlib
